date,price,freight_value,quantity_sold
2017-01-05,12.403125,9.6990625,32
2017-01-06,229.095,17.975,4
2017-01-07,270.38,19.218,6
2017-01-08,112.445,14.5175,4
2017-01-09,112.29833333333333,16.786666666666665,7
2017-01-10,239.14499999999998,22.71666666666667,6
2017-01-11,185.527,24.351,10
2017-01-12,105.61357142857142,17.268571428571427,16
2017-01-13,245.06799999999998,26.218,10
2017-01-14,54.805625,17.275000000000002,16
2017-01-15,104.74142857142859,16.75095238095238,38
2017-01-16,142.39217391304348,16.93565217391304,31
2017-01-17,89.25756756756756,15.975135135135137,45
2017-01-18,100.51531250000001,18.5996875,35
2017-01-19,101.54142857142857,16.748857142857144,45
2017-01-20,103.48282051282051,15.903076923076924,59
2017-01-21,68.05029411764706,17.181176470588234,63
2017-01-22,109.67484848484848,15.836363636363638,37
2017-01-23,123.51411764705882,18.085686274509804,73
2017-01-24,122.7452380952381,18.759761904761906,49
2017-01-25,112.93571428571428,17.160634920634923,79
2017-01-26,133.07185567010308,19.761134020618556,114
2017-01-27,151.0668918918919,17.28648648648649,96
2017-01-28,174.3451724137931,22.551724137931036,30
2017-01-29,135.60818181818183,14.25,71
2017-01-30,142.23819444444445,14.38888888888889,191
2017-01-31,130.957875,16.769125,106
2017-02-01,117.79328125,19.53015625,67
2017-02-02,119.10337837837838,20.546216216216216,82
2017-02-03,166.23827586206897,19.918275862068967,63
2017-02-04,194.27528571428573,24.584000000000003,77
2017-02-05,102.5230487804878,19.857560975609754,90
2017-02-06,111.90190476190476,17.77059523809524,90
2017-02-07,111.42024390243903,18.693658536585367,143
2017-02-08,125.55097826086957,21.36521739130435,102
2017-02-09,115.02051282051282,20.472051282051282,83
2017-02-10,187.7477142857143,19.20214285714286,78
2017-02-11,84.46196078431373,18.148823529411764,58
2017-02-12,233.16171875,22.92921875,67
2017-02-13,117.86220930232558,23.704186046511627,101
2017-02-14,145.1388,19.634,87
2017-02-15,110.62491525423728,20.46220338983051,63
2017-02-16,107.83592592592593,18.875555555555554,60
2017-02-17,121.45107142857144,22.463392857142857,74
2017-02-18,115.83063492063492,18.314444444444444,81
2017-02-19,86.9470731707317,15.389756097560976,45
2017-02-20,106.8120895522388,17.33820895522388,77
2017-02-21,195.6870731707317,23.39170731707317,43
2017-02-22,102.34,18.78,65
2017-02-23,89.59057142857144,21.703,95
2017-02-24,94.716,16.41542857142857,82
2017-02-25,83.10906976744187,18.00139534883721,50
2017-02-26,104.74469387755101,19.765918367346938,66
2017-02-27,113.02588235294117,18.775294117647057,64
2017-02-28,164.64246153846153,19.85615384615385,87
2017-03-01,109.94063063063064,17.906036036036035,141
2017-03-02,152.93835616438355,19.328219178082193,81
2017-03-03,154.5555,19.43375,89
2017-03-04,111.61999999999999,18.57207792207792,88
2017-03-05,86.53155844155845,18.563506493506495,97
2017-03-06,79.06458715596331,18.230366972477064,130
2017-03-07,119.88021052631579,18.962526315789475,133
2017-03-08,162.70333333333332,19.69962962962963,92
2017-03-09,99.78945454545455,18.408545454545454,144
2017-03-10,125.43242105263158,21.99642105263158,107
2017-03-11,136.5377922077922,20.472207792207794,89
2017-03-12,92.80242857142858,17.367428571428572,78
2017-03-13,150.01339449541285,20.293394495412844,114
2017-03-14,126.687,20.32381818181818,132
2017-03-15,124.88730434782609,18.399217391304347,135
2017-03-16,113.9874193548387,18.786290322580644,170
2017-03-17,152.69871794871796,20.660641025641024,99
2017-03-18,218.1881081081081,19.497702702702703,77
2017-03-19,112.7006779661017,18.28372881355932,63
2017-03-20,135.9765322580645,19.893225806451614,142
2017-03-21,109.81699029126213,18.014466019417476,119
2017-03-22,116.9502479338843,18.07487603305785,142
2017-03-23,125.57640625,18.195703125,156
2017-03-24,121.62132530120482,17.588313253012046,92
2017-03-25,113.43768292682927,19.449634146341467,96
2017-03-26,89.72132352941176,18.468676470588235,74
2017-03-27,137.17093220338984,19.75364406779661,130
2017-03-28,103.82018181818181,19.215454545454545,126
2017-03-29,98.36313253012048,18.04686746987952,97
2017-03-30,120.93345679012346,16.996666666666666,94
2017-03-31,169.03861111111112,21.308888888888887,75
2017-04-01,257.6245588235294,19.76323529411765,70
2017-04-02,116.88168831168831,18.824805194805194,97
2017-04-03,113.3726923076923,18.682051282051283,92
2017-04-04,112.85917431192661,16.984770642201834,123
2017-04-05,185.1337373737374,17.695454545454545,106
2017-04-06,191.3049,18.358,109
2017-04-07,140.57054347826087,18.18934782608696,102
2017-04-08,122.56652173913044,17.840144927536233,74
2017-04-09,105.69657534246576,18.654794520547945,78
2017-04-10,123.67945652173913,18.16467391304348,100
2017-04-11,87.157625,17.849625,87
2017-04-12,121.72203125,17.7334375,67
2017-04-13,151.42859375,23.7890625,68
2017-04-14,124.15166666666666,23.086851851851854,61
2017-04-15,157.88826923076925,19.531346153846155,55
2017-04-16,100.5192,20.409000000000002,53
2017-04-17,121.83754098360656,19.605245901639346,64
2017-04-18,253.41333333333336,25.561190476190475,97
2017-04-19,108.8488888888889,16.40675925925926,133
2017-04-20,114.95925233644859,20.19869158878505,132
2017-04-21,112.35026666666667,21.62826666666667,84
2017-04-22,137.21698924731183,21.241935483870968,109
2017-04-23,111.28146067415732,18.00550561797753,94
2017-04-24,104.2148,19.27,145
2017-04-25,116.50389830508476,20.24847457627119,140
2017-04-26,112.98227941176471,19.647426470588236,154
2017-04-27,99.18677083333334,20.349999999999998,137
2017-04-28,149.86336538461538,21.320769230769233,113
2017-04-29,139.44253012048193,20.746506024096387,100
2017-04-30,115.67188405797103,18.959420289855075,72
